Title,SellerSKU,ASIN,,In Stock Level,List Price,CPU,In Stock Value,Supplier,Date Purchased,Notes,,,,
CHEFS Ceramic Coated Jelly Roll Pan,TM03312017/10.83,B00E93G49A,"B00E93G49A,",2,59.99,10.83,21.66,Tuesday Morning,3/31/17,,"'B00E93G49A',",,,"('B00E93G49A', 'CHEFS Ceramic Coated Jelly Roll Pan', 2, 59.99),"
"Chefs Nonstick French Fry Baking Sheet 15 Inch, Gray",TM02102017/7.09,B00C6H6YTG,"B00C6H6YTG,",2,26.9,7.09,14.18,Tuesday Morning,2/10/17,,"'B00C6H6YTG',",,,"('B00C6H6YTG', 'Chefs Nonstick French Fry Baking Sheet 15 Inch, Gray', 2, 26.9),"
"CHEFS Nonstick French Fry Baking Sheet: 18""",TM02182017/6.15,B00PBEAAY6,"B00PBEAAY6,",2,22.17,6.15,12.3,Tuesday Morning,2/18/17,,"'B00PBEAAY6',",,,"('B00PBEAAY6', 'CHEFS Nonstick French Fry Baking Sheet: 18""', 2, 22.17),"
CHEFS Stainless Steel Electric Skillet - 12,TM01162017/63.58,B016K4AMY8,"B016K4AMY8,",2,159,63.58,127.16,Tuesday Morning,1/16/17,,"'B016K4AMY8',",,,"('B016K4AMY8', 'CHEFS Stainless Steel Electric Skillet - 12', 2, 159),"
CIA Masters Collection Nonstick 13 Inch x 18 Inch Large Jelly Roll Pan,TM03092017//12.81,B000HV6X5S,"B000HV6X5S,",1,49.99,12.81,12.81,Tuesday Morning,3/9/17,,"'B000HV6X5S',",,,"('B000HV6X5S', 'CIA Masters Collection Nonstick 13 Inch x 18 Inch Large Jelly Roll Pan', 1, 49.99),"
CIA Masters Collection Nonstick 14 Inch x 17 Inch Large Baking Sheet,TM03092017--12.81,B000HV6X58,"B000HV6X58,",1,49.99,12.81,12.81,Tuesday Morning,3/9/17,,"'B000HV6X58',",,,"('B000HV6X58', 'CIA Masters Collection Nonstick 14 Inch x 17 Inch Large Baking Sheet', 1, 49.99),"
"Clocky Alarm Clock On Wheels, Chrome",NPS03302017/24.56,B001989WIS,"B001989WIS,",2,59.15,24.56,49.12,NPS,3/30/17,,"'B001989WIS',",,,"('B001989WIS', 'Clocky Alarm Clock On Wheels, Chrome', 2, 59.15),"
Colgate Kids Anticavity Fluoride Rinse / Mouthwash - Bubble Gum Swirl - Alcohol-Free - Net Wt. 16.9 FL OZ (500 mL) Each - Pack of 2,BL04012017/5.13,B0177F38HW,"B0177F38HW,",1,24.95,5.13,5.13,Big Lots,4/1/17,,"'B0177F38HW',",,,"('B0177F38HW', 'Colgate Kids Anticavity Fluoride Rinse / Mouthwash - Bubble Gum Swirl - Alcohol-Free - Net Wt. 16.9 FL OZ (500 mL) Each - Pack of 2', 1, 24.95),"
"CoverGirl 225 Lipslicks Smoochies Lip Balm, Tweet Me, 0.14 Ounce",WG02272017/.6,B00C67ED3U,"B00C67ED3U,",1,15.99,0.6,0.6,Walgreens,2/27/17,,"'B00C67ED3U',",,,"('B00C67ED3U', 'CoverGirl 225 Lipslicks Smoochies Lip Balm, Tweet Me, 0.14 Ounce', 1, 15.99),"
"CoverGirl 250 Lipslicks Smoochies Lip Balm, 2 Cute, 0.14 Ounce",BL03032017/.77,B00C67ED3A,"B00C67ED3A,",1,15.99,0.77,0.77,Big Lots,3/3/17,,"'B00C67ED3A',",,,"('B00C67ED3A', 'CoverGirl 250 Lipslicks Smoochies Lip Balm, 2 Cute, 0.14 Ounce', 1, 15.99),"
"CoverGirl 330 Flamed Out Shadow Pencil, Gold Flame, 0.08 Ounce",BL03142017/.78,B00C64HR2W,"B00C64HR2W,",3,8.99,0.78,2.34,Big Lots,3/14/17,,"'B00C64HR2W',",,,"('B00C64HR2W', 'CoverGirl 330 Flamed Out Shadow Pencil, Gold Flame, 0.08 Ounce', 3, 8.99),"
COVERGIRL Blastflipstick Lipcolor Glimmer 0.134 Oz,BL03032017--.77,B005SD1YVS,"B005SD1YVS,",1,10.25,0.77,0.77,Big Lots,3/3/17,,"'B005SD1YVS',",,,"('B005SD1YVS', 'COVERGIRL Blastflipstick Lipcolor Glimmer 0.134 Oz', 1, 10.25),"
COVERGIRL Blastflipstick Lipcolor Stunner 0.134 Oz,BL03032017//.77,B005SD1Z80,"B005SD1Z80,",1,13.99,0.77,0.77,Big Lots,3/3/17,,"'B005SD1Z80',",,,"('B005SD1Z80', 'COVERGIRL Blastflipstick Lipcolor Stunner 0.134 Oz', 1, 13.99),"
"CoverGirl Clean Pressed Powder, Sensitive Skin, Fragrance-Free, Tawny 265",BL03032017/2.69,B003FBMHR0,"B003FBMHR0,",3,12.99,2.69,8.07,Big Lots,3/3/17,,"'B003FBMHR0',",,,"('B003FBMHR0', 'CoverGirl Clean Pressed Powder, Sensitive Skin, Fragrance-Free, Tawny 265', 3, 12.99),"
"CoverGirl Clean Sensitive Skin Pressed Powder Soft Honey (W) 255, 0.35 Ounce Pan",BL03032017/2.31,B00C67802U,"B00C67802U,",4,18.99,2.31,9.24,Big Lots,3/3/17,,"'B00C67802U',",,,"('B00C67802U', 'CoverGirl Clean Sensitive Skin Pressed Powder Soft Honey (W) 255, 0.35 Ounce Pan', 4, 18.99),"
